ts,close
1698969600,1.536e-05
1699056000,1.581e-05
1699142400,1.615e-05
1699228800,1.638e-05
1699315200,1.575e-05
1699401600,1.603e-05
1699488000,1.499e-05
1699574400,1.614e-05
1699660800,1.677e-05
1699747200,1.702e-05
1699833600,1.577e-05
1699920000,1.61e-05
1700006400,1.614e-05
1700092800,1.58e-05
1700179200,1.553e-05
1700265600,1.537e-05
1700352000,1.536e-05
1700438400,1.511e-05
1700524800,1.451e-05
1700611200,1.559e-05
1700697600,1.548e-05
1700784000,1.558e-05
1700870400,1.58e-05
1700956800,1.549e-05
1701043200,1.498e-05
1701129600,1.484e-05
1701216000,1.451e-05
1701302400,1.478e-05
1701388800,1.477e-05
1701475200,1.541e-05
1701561600,1.507e-05
1701648000,1.44e-05
1701734400,1.43e-05
1701820800,1.378e-05
1701907200,1.492e-05
1701993600,1.557e-05
1702080000,1.54e-05
1702166400,1.64e-05
1702252800,1.586e-05
1702339200,1.553e-05
1702425600,1.493e-05
1702512000,1.501e-05
1702598400,1.506e-05
1702684800,1.506e-05
1702771200,1.589e-05
1702857600,1.45e-05
1702944000,1.368e-05
1703030400,1.333e-05
1703116800,1.363e-05
1703203200,1.402e-05
1703289600,1.417e-05
1703376000,1.438e-05
1703462400,1.477e-05
1703548800,1.491e-05
1703635200,1.547e-05
1703721600,1.642e-05
1703808000,1.492e-05
1703894400,1.48e-05
1703980800,1.432e-05
1704067200,1.423e-05
1704153600,1.397e-05
1704240000,1.351e-05
1704326400,1.321e-05
1704412800,1.304e-05
1704499200,1.241e-05
1704585600,1.168e-05
1704672000,1.169e-05
1704758400,1.128e-05
1704844800,1.211e-05
1704931200,1.258e-05
1705017600,1.287e-05
1705104000,1.305e-05
1705190400,1.274e-05
1705276800,1.267e-05
1705363200,1.277e-05
1705449600,1.264e-05
1705536000,1.236e-05
1705622400,1.275e-05
1705708800,1.264e-05
1705795200,1.287e-05
1705881600,1.261e-05
1705968000,1.175e-05
1706054400,1.117e-05
1706140800,1.133e-05
1706227200,1.105e-05
1706313600,1.136e-05
1706400000,1.115e-05
1706486400,1.11e-05
1706572800,1.116e-05
1706659200,1.068e-05
1706745600,1.035e-05
1706832000,1.069e-05
1706918400,1.109e-05
1707004800,1.06e-05
1707091200,1.098e-05
1707177600,1.083e-05
1707264000,1.095e-05
1707350400,1.06e-05
1707436800,1.067e-05
1707523200,1.035e-05
1707609600,1.015e-05
1707696000,1.041e-05
1707782400,1.03e-05
1707868800,1.012e-05
1707955200,1.045e-05
1708041600,1.039e-05
1708128000,1.022e-05
1708214400,1.03e-05
1708300800,1.087e-05
1708387200,1.069e-05
1708473600,1.057e-05
1708560000,1.073e-05
1708646400,1.166e-05
1708732800,1.163e-05
1708819200,1.158e-05
1708905600,1.097e-05
1708992000,1.045e-05
1709078400,9.58e-06
1709164800,9.78e-06
1709251200,1.046e-05
1709337600,1.112e-05
1709424000,1.057e-05
1709510400,1.131e-05
1709596800,1.054e-05
1709683200,1.212e-05
1709769600,1.185e-05
1709856000,1.118e-05
1709942400,1.144e-05
1710028800,1.187e-05
1710115200,1.187e-05
1710201600,1.163e-05
1710288000,1.18e-05
1710374400,1.164e-05
1710460800,1.111e-05
